Date,Front_Contract,Front_Close,Front_High,Front_Low,Front_Open,Front_Volume,Front_OI,FV1_Contract,FV1_Close,FV1_High,FV1_Low,FV1_Open,FV1_Volume,FV1_OI
01/25/2018,FVH18,115.2109375,115.234375,114.96875,115.15625,880499,3367537,FVM18,114.953125,114.984375,114.765625,114.765625,1549,11286
01/26/2018,FVH18,114.96875,115.203125,114.90625,115.1953125,857911,3389772,FVM18,114.7109375,114.9375,114.65625,114.9375,2390,11787
01/29/2018,FVH18,114.875,114.984375,114.6796875,114.953125,918383,3381270,FVM18,114.609375,114.6171875,114.453125,114.59375,3363,13061
01/30/2018,FVH18,114.8359375,114.96875,114.7265625,114.8828125,879250,3361115,FVM18,114.5703125,114.6328125,114.5390625,114.6328125,4199,16015
01/31/2018,FVH18,114.7109375,114.9453125,114.5859375,114.8359375,1448935,3399915,FVM18,114.4453125,114.6015625,114.3359375,114.59375,10526,23597
02/01/2018,FVH18,114.546875,114.7421875,114.484375,114.7421875,1061656,3436354,FVM18,114.265625,114.453125,114.2109375,114.3828125,12189,26478
02/02/2018,FVH18,114.4140625,114.578125,114.2890625,114.4921875,1326775,3459929,FVM18,114.109375,114.28125,114.0,114.21875,14835,32374
02/05/2018,FVH18,114.7890625,115.234375,114.375,114.453125,1911355,3455324,FVM18,114.5,114.9296875,114.09375,114.125,29758,37431
02/06/2018,FVH18,114.828125,115.6640625,114.65625,115.1875,2223030,3406281,FVM18,114.5546875,115.3984375,114.390625,114.765625,31587,44393
02/07/2018,FVH18,114.5703125,114.8984375,114.484375,114.671875,1316508,3417857,FVM18,114.2890625,114.625,114.203125,114.40625,34435,53606
02/08/2018,FVH18,114.5546875,114.7578125,114.3671875,114.6171875,1526963,3410433,FVM18,114.265625,114.46875,114.0859375,114.359375,56821,78117
02/09/2018,FVH18,114.8203125,115.1171875,114.546875,114.671875,1794327,3352537,FVM18,114.546875,114.84375,114.2734375,114.40625,33581,92472
02/12/2018,FVH18,114.6171875,114.6875,114.484375,114.6875,960477,3327264,FVM18,114.328125,114.3828125,114.1796875,114.34375,28494,106336
02/13/2018,FVH18,114.640625,114.75,114.5859375,114.5859375,793896,3310261,FVM18,114.3515625,114.453125,114.2890625,114.3203125,26480,118946
02/14/2018,FVH18,114.203125,114.7734375,114.15625,114.6484375,1403645,3342398,FVM18,113.890625,114.484375,113.84375,114.375,60572,147717
02/15/2018,FVH18,114.21875,114.3046875,113.984375,114.2421875,1049075,3331737,FVM18,113.9140625,114.0,113.65625,113.90625,52804,162749
02/16/2018,FVH18,114.3046875,114.375,114.140625,114.1640625,780694,3310883,FVM18,114.0078125,114.078125,113.84375,113.8515625,21634,172457
02/20/2018,FVH18,114.2109375,114.3203125,114.0078125,114.2890625,1262329,3287787,FVM18,113.9140625,114.03125,113.6953125,114.0078125,274938,348745
02/21/2018,FVH18,114.0859375,114.2890625,114.0078125,114.21875,1735806,3045930,FVM18,113.7890625,114.0,113.71875,113.9296875,851166,805925
02/22/2018,FVH18,114.21875,114.25,114.015625,114.0390625,1929225,2527584,FVM18,113.921875,113.953125,113.71875,113.7578125,1279635,1428567
02/23/2018,FVH18,114.3828125,114.4453125,114.1484375,114.21875,1701270,1706952,FVM18,114.0859375,114.140625,113.84375,113.921875,1179272,2040153
02/26/2018,FVH18,114.4375,114.5390625,114.3125,114.34375,2327677,673400,FVM18,114.140625,114.25,114.015625,114.0546875,2088696,2860294
02/27/2018,FVH18,114.1484375,114.4609375,114.0703125,114.40625,1399238,241116,FVM18,113.8359375,114.1640625,113.7578125,114.125,1475838,3227917
02/28/2018,FVH18,114.2265625,114.2578125,114.0390625,114.1796875,242446,122905,FVM18,113.9296875,113.96875,113.7265625,113.8671875,1089500,3273732
03/01/2018,FVH18,114.59375,114.6484375,114.1953125,114.265625,133349,85345,FVM18,114.3125,114.375,113.890625,113.9609375,1403566,3280164
03/02/2018,FVH18,114.390625,114.671875,114.3125,114.53125,42597,77221,FVM18,114.09375,114.3984375,114.015625,114.2578125,1130824,3321669
03/05/2018,FVH18,114.3125,114.6328125,114.25,114.3671875,38515,61815,FVM18,114.0078125,114.34375,113.9296875,114.0625,824974,3301081
03/06/2018,FVH18,114.296875,114.3984375,114.1875,114.265625,24928,51379,FVM18,113.984375,114.1015625,113.875,113.9765625,779835,3323861
03/07/2018,FVH18,114.28125,114.53125,114.2578125,114.3125,18291,44270,FVM18,113.9765625,114.25,113.9453125,114.0234375,888452,3320254
